Perturbation	Cell Count	Rank	geneName
sciPlex3_MCF7_1μM	379	4	PF-3845
sciPlex3_A549_0.1μM	256	5	PF-3845
sciPlex3_A549_0.01μM	248	6	PF-3845
sciPlex3_K562_10μM	247	7	PF-3845
sciPlex3_K562_1μM	246	8	PF-3845
sciPlex3_A549_10μM	233	9	PF-3845
sciPlex3_K562_0.01μM	233	10	PF-3845
sciPlex3_K562_0.1μM	208	11	PF-3845
sciPlex3_A549_1μM	50	12	PF-3845
210322_TFAtlas	3419	1	ZNF138
K562_GW	23	2	ZNF138
210322_TFAtlas	952	1	ESRRG
extend_61	189	2	ESRRG
210322_TFAtlas	74	1	ERG
extend_61	58	2	ERG
ECCITE	493	1	STAT3
Perturb-CITE-seq	351	2	STAT3
K562_GW	170	3	STAT3
Pre_inject	91	4	STAT3
210322_TFAtlas	81	5	STAT3
K562_GW	314	1	AHCYL1
exp6	211	2	AHCYL1
exp10	74	3	AHCYL1
exp9	41	4	AHCYL1
210322_TFAtlas	927	1	ZNF24
K562_GW	175	2	ZNF24
K562_essential	59	3	ZNF24
RPE1_essential	49	4	ZNF24
210322_TFAtlas	326	1	CREBZF
K562_GW	275	2	CREBZF
iPSC	17664	1	MAT2A
day7neuron	6376	2	MAT2A
RPE1_essential	143	3	MAT2A
K562_GW	60	4	MAT2A
K562_essential	51	5	MAT2A
sciPlex3_MCF7_0.01μM	477	1	Entinostat
sciPlex3_MCF7_10μM	438	2	Entinostat
sciPlex3_MCF7_1μM	342	3	Entinostat
sciPlex3_MCF7_0.1μM	292	4	Entinostat
sciPlex3_K562_0.1μM	269	5	Entinostat
sciPlex3_K562_0.01μM	267	6	Entinostat
sciPlex3_A549_0.1μM	247	7	Entinostat
sciPlex3_A549_10μM	198	8	Entinostat
sciPlex3_A549_1μM	185	9	Entinostat
sciPlex3_K562_1μM	180	10	Entinostat
sciPlex3_A549_0.01μM	172	11	Entinostat
sciPlex3_K562_10μM	113	12	Entinostat
K562_GW	445	1	CCNB1
K562_essential	158	2	CCNB1
RPE1_essential	81	3	CCNB1
Pre_inject	63	4	CCNB1
sciPlex3_A549_1μM	401	1	2-Methoxyestradiol
sciPlex3_A549_0.1μM	366	2	2-Methoxyestradiol
sciPlex3_A549_0.01μM	359	3	2-Methoxyestradiol
sciPlex3_MCF7_1μM	305	4	2-Methoxyestradiol
sciPlex3_MCF7_0.01μM	286	5	2-Methoxyestradiol
sciPlex3_A549_10μM	283	6	2-Methoxyestradiol
sciPlex3_MCF7_0.1μM	253	7	2-Methoxyestradiol
sciPlex3_K562_0.01μM	250	8	2-Methoxyestradiol
sciPlex3_K562_0.1μM	245	9	2-Methoxyestradiol
sciPlex3_MCF7_10μM	196	10	2-Methoxyestradiol
sciPlex3_K562_1μM	157	11	2-Methoxyestradiol
sciPlex3_K562_10μM	83	12	2-Methoxyestradiol
iPSC	1419	1	MVK
K562_GW	254	2	MVK
day7neuron	249	3	MVK
K562_essential	94	4	MVK
sciPlex3_MCF7_10μM	241	1	Raltitrexed
sciPlex3_A549_0.01μM	236	2	Raltitrexed
sciPlex3_A549_0.1μM	225	3	Raltitrexed
sciPlex3_MCF7_0.1μM	219	4	Raltitrexed
sciPlex3_MCF7_0.01μM	208	5	Raltitrexed
sciPlex3_MCF7_1μM	188	6	Raltitrexed
sciPlex3_A549_10μM	149	7	Raltitrexed
sciPlex3_K562_0.1μM	132	8	Raltitrexed
sciPlex3_A549_1μM	101	9	Raltitrexed
sciPlex3_K562_10μM	89	10	Raltitrexed
sciPlex3_K562_0.01μM	69	11	Raltitrexed
sciPlex3_K562_1μM	69	12	Raltitrexed
THP-1	1950	1	GATA2
K562_GW	329	2	GATA2
extend_61	86	3	GATA2
210322_TFAtlas	45	4	GATA2
K562_GW	249	1	TADA3
210322_TFAtlas	191	2	TADA3
K562_essential	110	3	TADA3
RPE1_essential	57	4	TADA3
210322_TFAtlas	352	1	RPA2
K562_GW	117	2	RPA2
K562_essential	99	3	RPA2
RPE1_essential	51	4	RPA2
CRISPRi	186	1	PMPCA
K562_GW	140	2	PMPCA
K562_essential	64	3	PMPCA
RPE1_essential	59	4	PMPCA
PRJNA551220	540	1	ISL2
201218_RNA	396	2	ISL2
K562_GW	181	3	ISL2
210322_TFAtlas	151	4	ISL2
sciPlex3_MCF7_0.01μM	440	1	Motesanib-Diphosphate
sciPlex3_MCF7_1μM	436	2	Motesanib-Diphosphate
sciPlex3_MCF7_0.1μM	405	3	Motesanib-Diphosphate
sciPlex3_K562_0.1μM	308	4	Motesanib-Diphosphate
sciPlex3_MCF7_10μM	274	5	Motesanib-Diphosphate
sciPlex3_K562_1μM	267	6	Motesanib-Diphosphate
sciPlex3_A549_0.1μM	253	7	Motesanib-Diphosphate
sciPlex3_K562_10μM	240	8	Motesanib-Diphosphate
sciPlex3_A549_0.01μM	229	9	Motesanib-Diphosphate
sciPlex3_K562_0.01μM	224	10	Motesanib-Diphosphate
sciPlex3_A549_10μM	155	11	Motesanib-Diphosphate
sciPlex3_A549_1μM	94	12	Motesanib-Diphosphate
210322_TFAtlas	765	1	PES1
K562_essential	58	2	PES1
K562_GW	44	3	PES1
RPE1_essential	29	4	PES1
sciPlex3_MCF7_10μM	467	1	Belinostat
sciPlex3_A549_0.1μM	440	2	Belinostat
sciPlex3_A549_0.01μM	416	3	Belinostat
sciPlex3_A549_1μM	412	4	Belinostat
sciPlex3_MCF7_0.01μM	311	5	Belinostat
sciPlex3_MCF7_0.1μM	289	6	Belinostat
sciPlex3_K562_0.01μM	255	7	Belinostat
sciPlex3_MCF7_1μM	246	8	Belinostat
sciPlex3_K562_1μM	175	9	Belinostat
sciPlex3_K562_0.1μM	162	10	Belinostat
sciPlex3_A549_10μM	152	11	Belinostat
sciPlex3_K562_10μM	74	12	Belinostat
CRISPRi	162	1	RBM17
K562_GW	104	2	RBM17
K562_essential	66	3	RBM17
RPE1_essential	41	4	RBM17
K562_GW	181	1	SKI
201218_RNA	96	2	SKI
D1S	253	1	TCEB2
D2N	173	2	TCEB2
D2S	170	3	TCEB2
D1N	67	4	TCEB2
sciPlex3_MCF7_0.1μM	551	1	Navitoclax
sciPlex3_MCF7_0.01μM	429	2	Navitoclax
sciPlex3_A549_0.1μM	257	3	Navitoclax
sciPlex3_K562_0.1μM	256	4	Navitoclax
sciPlex3_K562_0.01μM	254	5	Navitoclax
sciPlex3_K562_1μM	242	6	Navitoclax
sciPlex3_MCF7_1μM	236	7	Navitoclax
sciPlex3_A549_0.01μM	152	8	Navitoclax
sciPlex3_A549_1μM	142	9	Navitoclax
sciPlex3_MCF7_10μM	139	10	Navitoclax
sciPlex3_A549_10μM	107	11	Navitoclax
sciPlex3_K562_10μM	45	12	Navitoclax
210322_TFAtlas	272	1	RUNX2
unstimulated	237	2	RUNX2
stimulated	175	3	RUNX2
K562_GW	153	4	RUNX2
Jurkat_TCR	119	5	RUNX2
201218_RNA	88	6	RUNX2
sciPlex3_MCF7_0.01μM	479	1	Vandetanib
sciPlex3_MCF7_0.1μM	281	2	Vandetanib
sciPlex3_MCF7_1μM	273	3	Vandetanib
sciPlex3_A549_0.01μM	254	4	Vandetanib
sciPlex3_A549_1μM	250	5	Vandetanib
sciPlex3_K562_0.1μM	247	6	Vandetanib
sciPlex3_K562_1μM	239	7	Vandetanib
sciPlex3_A549_0.1μM	230	8	Vandetanib
sciPlex3_K562_0.01μM	224	9	Vandetanib
sciPlex3_A549_10μM	188	10	Vandetanib
sciPlex3_MCF7_10μM	165	11	Vandetanib
sciPlex3_K562_10μM	80	12	Vandetanib
210322_TFAtlas	561	1	FOXI1
201218_RNA	281	2	FOXI1
210322_TFAtlas	277	1	ZNF581
K562_GW	208	2	ZNF581
K562_GW	184	1	ZNF587
210322_TFAtlas	92	2	ZNF587
WTX_DIFFEX	683	1	UBR5
REDESIGN	601	2	UBR5
TAP_DIFFEX	505	3	UBR5
L1000	231	4	UBR5
RPE1_essential	102	5	UBR5
K562_GW	83	6	UBR5
K562_essential	29	7	UBR5
210322_TFAtlas	401	1	DEK
K562_GW	140	2	DEK
k562_tfs_highmoi	3429	1	E2F4
k562_tfs_7	1622	2	E2F4
k562_tfs_13	826	3	E2F4
210322_TFAtlas	196	4	E2F4
K562_GW	158	5	E2F4
210322_TFAtlas	442	1	GTF2F2
RPE1_essential	54	2	GTF2F2
K562_essential	52	3	GTF2F2
K562_GW	45	4	GTF2F2
210322_TFAtlas	105	1	ZNF133
201218_RNA	82	2	ZNF133
UPR_Perturb_seq	373	1	MRPL39
exp1-5	222	2	MRPL39
RPE1_essential	172	3	MRPL39
K562_GW	150	4	MRPL39
K562_essential	113	5	MRPL39
sciPlex3_MCF7_0.01μM	579	1	Sirtinol
sciPlex3_MCF7_0.1μM	510	2	Sirtinol
sciPlex3_MCF7_1μM	493	3	Sirtinol
sciPlex3_MCF7_10μM	482	4	Sirtinol
sciPlex3_K562_10μM	295	5	Sirtinol
sciPlex3_A549_10μM	260	6	Sirtinol
sciPlex3_K562_1μM	260	7	Sirtinol
sciPlex3_K562_0.01μM	253	8	Sirtinol
sciPlex3_A549_0.1μM	248	9	Sirtinol
sciPlex3_K562_0.1μM	243	10	Sirtinol
sciPlex3_A549_0.01μM	242	11	Sirtinol
sciPlex3_A549_1μM	223	12	Sirtinol
sciPlex3_MCF7_0.1μM	534	1	Obatoclax-Mesylate
sciPlex3_MCF7_0.01μM	501	2	Obatoclax-Mesylate
sciPlex3_K562_0.1μM	304	3	Obatoclax-Mesylate
sciPlex3_A549_0.01μM	294	4	Obatoclax-Mesylate
sciPlex3_K562_1μM	262	5	Obatoclax-Mesylate
sciPlex3_MCF7_1μM	254	6	Obatoclax-Mesylate
sciPlex3_K562_0.01μM	252	7	Obatoclax-Mesylate
sciPlex3_A549_0.1μM	249	8	Obatoclax-Mesylate
sciPlex3_MCF7_10μM	184	9	Obatoclax-Mesylate
sciPlex3_A549_1μM	153	10	Obatoclax-Mesylate
sciPlex3_A549_10μM	123	11	Obatoclax-Mesylate
sciPlex3_K562_10μM	53	12	Obatoclax-Mesylate
K562_essential	259	1	PFN1
K562_GW	234	2	PFN1
Perturb-CITE-seq	224	3	PFN1
CRISPRi	131	4	PFN1
RPE1_essential	91	5	PFN1
K562_GW	230	1	BRPF1
210322_TFAtlas	44	2	BRPF1
210322_TFAtlas	147	1	HMG20A
K562_GW	118	2	HMG20A
k562_tfs_highmoi	5281	1	ELF1
k562_tfs_7	4004	2	ELF1
k562_tfs_13	2286	3	ELF1
K562_GW	45	4	ELF1
exp6	205	1	CHEK1
K562_essential	204	2	CHEK1
K562_GW	199	3	CHEK1
Dox	107	4	CHEK1
Mock	101	5	CHEK1
RPE1_essential	56	6	CHEK1
sciPlex3_MCF7_0.1μM	287	1	TAK-901
sciPlex3_K562_0.01μM	233	2	TAK-901
sciPlex3_MCF7_1μM	226	3	TAK-901
sciPlex3_MCF7_0.01μM	222	4	TAK-901
sciPlex3_A549_0.01μM	218	5	TAK-901
sciPlex3_K562_0.1μM	131	6	TAK-901
sciPlex3_A549_0.1μM	124	7	TAK-901
sciPlex3_A549_1μM	108	8	TAK-901
sciPlex3_K562_1μM	92	9	TAK-901
sciPlex3_MCF7_10μM	90	10	TAK-901
sciPlex3_A549_10μM	86	11	TAK-901
sciPlex3_K562_10μM	82	12	TAK-901
210322_TFAtlas	427	1	MAFG
K562_GW	257	2	MAFG
K562_GW	174	1	MYB
210322_TFAtlas	86	2	MYB
K562_essential	267	1	HNRNPC
Perturb-CITE-seq	172	2	HNRNPC
K562_GW	93	3	HNRNPC
RPE1_essential	50	4	HNRNPC
K562_essential	156	1	RAD51
Mock	145	2	RAD51
Dox	126	3	RAD51
K562_GW	96	4	RAD51
exp7	290	1	RPL41
RPE1_essential	185	2	RPL41
K562_GW	93	3	RPL41
K562_essential	35	4	RPL41
210322_TFAtlas	198	1	STAT6
D2S	174	2	STAT6
D1S	155	3	STAT6
D1N	131	4	STAT6
D2N	109	5	STAT6
PRJNA524331	344	1	RARA
210322_TFAtlas	258	2	RARA
K562_GW	353	1	BAP1
K562_essential	188	2	BAP1
Mock	122	3	BAP1
Dox	121	4	BAP1
RPE1_essential	114	5	BAP1
PRJNA551220	1602	1	OSR2
210322_TFAtlas	474	2	OSR2
THP-1	2391	1	FLI1
201218_RNA	441	2	FLI1
210322_TFAtlas	146	3	FLI1
extend_61	46	4	FLI1
K562_essential	180	1	RPL14
CRISPRi	122	2	RPL14
K562_GW	48	3	RPL14
RPE1_essential	41	4	RPL14
k562_tfs_highmoi	2047	1	GABPA
k562_tfs_13	1141	2	GABPA
K562_GW	196	3	GABPA
210322_TFAtlas	73	4	GABPA
RPE1_essential	59	5	GABPA
K562_essential	55	6	GABPA
201218_RNA	109	1	AHRR
210322_TFAtlas	53	2	AHRR
exp6	736	1	SQLE
K562_GW	244	2	SQLE
exp9	142	3	SQLE
day7neuron	108	4	SQLE
exp10	99	5	SQLE
iPSC	94	6	SQLE
exp6	122	1	XRCC5
K562_essential	73	2	XRCC5
K562_GW	65	3	XRCC5
RPE1_essential	50	4	XRCC5
210322_TFAtlas	38	5	XRCC5
210322_TFAtlas	312	1	NR4A1
stimulated	227	2	NR4A1
unstimulated	201	3	NR4A1
Jurkat_TCR	176	4	NR4A1
TAD2_SE2	43	1	chr6_37159813_37159831_+
15SE_71HS	42	2	chr6_37159813_37159831_+
K562_GW	96	1	SETDB2
210322_TFAtlas	95	2	SETDB2
sciPlex3_MCF7_0.1μM	566	1	Fedratinib
sciPlex3_MCF7_0.01μM	403	2	Fedratinib
sciPlex3_MCF7_1μM	362	3	Fedratinib
sciPlex3_K562_0.01μM	256	4	Fedratinib
sciPlex3_A549_0.1μM	214	5	Fedratinib
sciPlex3_MCF7_10μM	203	6	Fedratinib
sciPlex3_K562_1μM	201	7	Fedratinib
sciPlex3_K562_0.1μM	191	8	Fedratinib
sciPlex3_A549_1μM	156	9	Fedratinib
sciPlex3_A549_0.01μM	113	10	Fedratinib
sciPlex3_A549_10μM	71	11	Fedratinib
sciPlex3_K562_10μM	64	12	Fedratinib
210322_TFAtlas	2049	1	FXN
K562_GW	306	2	FXN
CRISPRi	199	3	FXN
K562_essential	174	4	FXN
RPE1_essential	32	5	FXN
210322_TFAtlas	259	1	TAF9
K562_GW	154	2	TAF9
K562_essential	297	1	NACA
K562_GW	112	2	NACA
Perturb-CITE-seq	56	3	NACA
RPE1_essential	26	4	NACA
THP-1	4615	1	INTS1
K562_GW	264	2	INTS1
K562_essential	106	3	INTS1
RPE1_essential	34	4	INTS1
210322_TFAtlas	464	1	NFE2L1
K562_GW	66	2	NFE2L1
210322_TFAtlas	1205	1	PMS1
K562_GW	98	2	PMS1
sciPlex3_MCF7_1μM	544	1	SRT3025-HCl
sciPlex3_MCF7_10μM	540	2	SRT3025-HCl
sciPlex3_MCF7_0.01μM	508	3	SRT3025-HCl
sciPlex3_A549_0.1μM	468	4	SRT3025-HCl
sciPlex3_A549_1μM	373	5	SRT3025-HCl
sciPlex3_A549_10μM	363	6	SRT3025-HCl
sciPlex3_A549_0.01μM	356	7	SRT3025-HCl
sciPlex3_MCF7_0.1μM	268	8	SRT3025-HCl
sciPlex3_K562_0.01μM	250	9	SRT3025-HCl
sciPlex3_K562_0.1μM	219	10	SRT3025-HCl
sciPlex3_K562_10μM	212	11	SRT3025-HCl
sciPlex3_K562_1μM	211	12	SRT3025-HCl
exp8	939	1	EIF2S1
exp7	531	2	EIF2S1
UPR_Perturb_seq	422	3	EIF2S1
K562_essential	202	4	EIF2S1
CRISPRi	104	5	EIF2S1
RPE1_essential	79	6	EIF2S1
K562_GW	68	7	EIF2S1
exp6	24	8	EIF2S1
Perturb-CITE-seq	443	1	HLA-C
K562_GW	125	2	HLA-C
RPE1_essential	67	3	HLA-C
K562_essential	44	4	HLA-C
exp7	200	1	RPS14
K562_essential	135	2	RPS14
K562_GW	66	3	RPS14
RPE1_essential	55	4	RPS14
K562_GW	481	1	ZFP36L1
210322_TFAtlas	47	2	ZFP36L1
CRISPRi_perturb_host	430	1	WDR26
K562_GW	290	2	WDR26
K562_essential	159	3	WDR26
RPE1_essential	36	4	WDR26
210322_TFAtlas	555	1	RUVBL1
K562_essential	181	2	RUVBL1
RPE1_essential	93	3	RUVBL1
K562_GW	45	4	RUVBL1
210322_TFAtlas	1333	1	DDIT3
exp8	1031	2	DDIT3
K562_GW	264	3	DDIT3
pilot	249	4	DDIT3
K562_GW	198	1	ZNF205
210322_TFAtlas	41	2	ZNF205
210322_TFAtlas	61	1	TTF1
K562_GW	22	2	TTF1
201218_RNA	312	1	NR2E1
210322_TFAtlas	242	2	NR2E1
iPSC	4721	1	HMGCS1
exp7	1072	2	HMGCS1
K562_essential	186	3	HMGCS1
RPE1_essential	179	4	HMGCS1
day7neuron	82	5	HMGCS1
K562_GW	63	6	HMGCS1
210322_TFAtlas	2120	1	SMARCA2
K562_GW	55	2	SMARCA2
201218_RNA	456	1	LHX9
210322_TFAtlas	377	2	LHX9
D2S	296	1	RASA2
K562_GW	280	2	RASA2
D1S	262	3	RASA2
D2N	176	4	RASA2
D1N	160	5	RASA2
CRISPRi	143	1	COX15
K562_GW	109	2	COX15
K562_essential	88	3	COX15
RPE1_essential	47	4	COX15
210322_TFAtlas	1436	1	TEAD2
201218_RNA	453	2	TEAD2
K562_GW	736	1	ZNF580
210322_TFAtlas	555	2	ZNF580
210322_TFAtlas	124	1	PAX7
extend_61	54	2	PAX7
exp7	278	1	RAN
ORF_screen	269	2	RAN
K562_GW	149	3	RAN
K562_essential	75	4	RAN
RPE1_essential	45	5	RAN
PRJNA551220	496	1	CDKN1B
exp8	286	2	CDKN1B
D2S	286	3	CDKN1B
K562_GW	222	4	CDKN1B
D1S	164	5	CDKN1B
Mock	131	6	CDKN1B
Dox	117	7	CDKN1B
D1N	81	8	CDKN1B
D2N	34	9	CDKN1B
210322_TFAtlas	1579	1	GTF2H3
CRISPRi	189	2	GTF2H3
K562_essential	76	3	GTF2H3
K562_GW	69	4	GTF2H3
RPE1_essential	53	5	GTF2H3
sciPlex3_MCF7_10μM	476	1	Abexinostat
sciPlex3_A549_0.1μM	456	2	Abexinostat
sciPlex3_MCF7_1μM	448	3	Abexinostat
sciPlex3_A549_0.01μM	421	4	Abexinostat
sciPlex3_MCF7_0.1μM	379	5	Abexinostat
sciPlex3_A549_1μM	344	6	Abexinostat
sciPlex3_MCF7_0.01μM	320	7	Abexinostat
sciPlex3_K562_0.01μM	223	8	Abexinostat
sciPlex3_A549_10μM	211	9	Abexinostat
sciPlex3_K562_0.1μM	137	10	Abexinostat
sciPlex3_K562_1μM	106	11	Abexinostat
sciPlex3_K562_10μM	79	12	Abexinostat
Perturb-CITE-seq	555	1	CCR10
K562_GW	214	2	CCR10
invitro_TGFB	146	3	CCR10
invitro_Stim	102	4	CCR10
invivo	49	5	CCR10
sciPlex3_A549_0.01μM	536	1	Resveratrol
sciPlex3_MCF7_10μM	533	2	Resveratrol
sciPlex3_MCF7_1μM	477	3	Resveratrol
sciPlex3_A549_1μM	437	4	Resveratrol
sciPlex3_A549_10μM	421	5	Resveratrol
sciPlex3_MCF7_0.01μM	412	6	Resveratrol
sciPlex3_MCF7_0.1μM	409	7	Resveratrol
sciPlex3_A549_0.1μM	361	8	Resveratrol
sciPlex3_K562_10μM	266	9	Resveratrol
sciPlex3_K562_1μM	251	10	Resveratrol
sciPlex3_K562_0.1μM	242	11	Resveratrol
sciPlex3_K562_0.01μM	227	12	Resveratrol
K562_GW	57	1	MLLT1
210322_TFAtlas	34	2	MLLT1
210322_TFAtlas	3134	1	TCF7
invitro_TGFB	103	2	TCF7
PRJNA787633	79	3	TCF7
invitro_Stim	67	4	TCF7
K562_GW	63	5	TCF7
invivo	49	6	TCF7
210322_TFAtlas	305	1	PRDM2
K562_GW	143	2	PRDM2
sciPlex3_MCF7_0.01μM	561	1	WHI-P154
sciPlex3_MCF7_0.1μM	535	2	WHI-P154
sciPlex3_MCF7_1μM	517	3	WHI-P154
sciPlex3_MCF7_10μM	357	4	WHI-P154
sciPlex3_A549_0.1μM	277	5	WHI-P154
sciPlex3_K562_0.1μM	276	6	WHI-P154
sciPlex3_A549_1μM	267	7	WHI-P154
sciPlex3_K562_1μM	265	8	WHI-P154
sciPlex3_K562_0.01μM	249	9	WHI-P154
sciPlex3_A549_10μM	233	10	WHI-P154
sciPlex3_K562_10μM	205	11	WHI-P154
sciPlex3_A549_0.01μM	131	12	WHI-P154
sciPlex3_MCF7_0.01μM	422	1	AZ-960
sciPlex3_MCF7_0.1μM	341	2	AZ-960
sciPlex3_MCF7_1μM	257	3	AZ-960
sciPlex3_K562_0.01μM	248	4	AZ-960
sciPlex3_K562_0.1μM	239	5	AZ-960
sciPlex3_MCF7_10μM	191	6	AZ-960
sciPlex3_A549_0.1μM	187	7	AZ-960
sciPlex3_A549_0.01μM	183	8	AZ-960
sciPlex3_K562_1μM	179	9	AZ-960
sciPlex3_K562_10μM	153	10	AZ-960
sciPlex3_A549_1μM	118	11	AZ-960
sciPlex3_A549_10μM	96	12	AZ-960
210322_TFAtlas	581	1	SPIB
extend_61	150	2	SPIB
K562_GW	367	1	SOX1
210322_TFAtlas	31	2	SOX1
sciPlex3_MCF7_0.01μM	498	1	Glesatinib
sciPlex3_K562_0.1μM	296	2	Glesatinib
sciPlex3_MCF7_0.1μM	283	3	Glesatinib
sciPlex3_K562_0.01μM	278	4	Glesatinib
sciPlex3_A549_1μM	257	5	Glesatinib
sciPlex3_K562_1μM	251	6	Glesatinib
sciPlex3_A549_0.01μM	246	7	Glesatinib
sciPlex3_A549_0.1μM	225	8	Glesatinib
sciPlex3_MCF7_10μM	219	9	Glesatinib
sciPlex3_MCF7_1μM	206	10	Glesatinib
sciPlex3_A549_10μM	105	11	Glesatinib
sciPlex3_K562_10μM	95	12	Glesatinib
210322_TFAtlas	366	1	BLZF1
K562_GW	278	2	BLZF1
sciPlex3_MCF7_0.1μM	417	1	Costunolide
sciPlex3_MCF7_1μM	381	2	Costunolide
sciPlex3_MCF7_0.01μM	328	3	Costunolide
sciPlex3_K562_0.1μM	294	4	Costunolide
sciPlex3_K562_0.01μM	289	5	Costunolide
sciPlex3_K562_10μM	273	6	Costunolide
sciPlex3_MCF7_10μM	272	7	Costunolide
sciPlex3_K562_1μM	246	8	Costunolide
sciPlex3_A549_10μM	244	9	Costunolide
sciPlex3_A549_0.1μM	144	10	Costunolide
sciPlex3_A549_0.01μM	120	11	Costunolide
sciPlex3_A549_1μM	118	12	Costunolide
K562_GW	75	1	ZNF274
210322_TFAtlas	34	2	ZNF274
210322_TFAtlas	72	1	DMTF1
K562_GW	29	2	DMTF1
210322_TFAtlas	351	1	NR3C1
K562_GW	160	2	NR3C1
sciPlex3_MCF7_10μM	420	1	Tozasertib
sciPlex3_A549_0.01μM	385	2	Tozasertib
sciPlex3_MCF7_0.1μM	290	3	Tozasertib
sciPlex3_A549_1μM	274	4	Tozasertib
sciPlex3_MCF7_0.01μM	263	5	Tozasertib
sciPlex3_A549_0.1μM	232	6	Tozasertib
sciPlex3_A549_10μM	226	7	Tozasertib
sciPlex3_K562_0.01μM	224	8	Tozasertib
sciPlex3_MCF7_1μM	217	9	Tozasertib
sciPlex3_K562_0.1μM	157	10	Tozasertib
sciPlex3_K562_10μM	101	11	Tozasertib
sciPlex3_K562_1μM	99	12	Tozasertib
210322_TFAtlas	767	1	THAP3
K562_GW	146	2	THAP3
exp6	220	1	RAD9A
exp10	128	2	RAD9A
K562_GW	113	3	RAD9A
exp9	65	4	RAD9A
K562_essential	40	5	RAD9A
sciPlex3_MCF7_0.1μM	468	1	SB431542
sciPlex3_MCF7_0.01μM	442	2	SB431542
sciPlex3_K562_10μM	324	3	SB431542
sciPlex3_MCF7_10μM	300	4	SB431542
sciPlex3_MCF7_1μM	266	5	SB431542
sciPlex3_K562_0.01μM	263	6	SB431542
sciPlex3_A549_0.01μM	239	7	SB431542
sciPlex3_K562_1μM	238	8	SB431542
sciPlex3_K562_0.1μM	235	9	SB431542
sciPlex3_A549_0.1μM	210	10	SB431542
sciPlex3_A549_10μM	171	11	SB431542
sciPlex3_A549_1μM	41	12	SB431542
201218_RNA	554	1	LHX8
210322_TFAtlas	445	2	LHX8
210322_TFAtlas	588	1	PUF60
Perturb-CITE-seq	209	2	PUF60
201218_RNA	188	3	PUF60
K562_essential	81	4	PUF60
K562_GW	55	5	PUF60
RPE1_essential	40	6	PUF60
CRISPRi	154	1	BNIP1
K562_GW	104	2	BNIP1
K562_essential	77	3	BNIP1
RPE1_essential	54	4	BNIP1
sciPlex3_MCF7_0.01μM	543	1	AG-14361
sciPlex3_MCF7_1μM	523	2	AG-14361
sciPlex3_MCF7_0.1μM	365	3	AG-14361
sciPlex3_MCF7_10μM	324	4	AG-14361
sciPlex3_A549_0.01μM	264	5	AG-14361
sciPlex3_A549_0.1μM	254	6	AG-14361
sciPlex3_K562_0.01μM	243	7	AG-14361
sciPlex3_K562_0.1μM	236	8	AG-14361
sciPlex3_K562_1μM	228	9	AG-14361
sciPlex3_K562_10μM	219	10	AG-14361
sciPlex3_A549_1μM	209	11	AG-14361
sciPlex3_A549_10μM	152	12	AG-14361
K562_GW	85	1	DNAJC1
210322_TFAtlas	83	2	DNAJC1
exp8	1369	1	HSF1
exp7	1122	2	HSF1
K562_GW	145	3	HSF1
K562_essential	114	4	HSF1
210322_TFAtlas	30	5	HSF1
210322_TFAtlas	1008	1	GCFC2
K562_GW	155	2	GCFC2
210322_TFAtlas	383	1	TFCP2
K562_GW	330	2	TFCP2
K562_GW	127	1	SMAD5
210322_TFAtlas	39	2	SMAD5
210322_TFAtlas	4321	1	YAF2
K562_GW	84	2	YAF2
sciPlex3_MCF7_10μM	475	1	Quisinostat-JNJ-26481585-2HCl
sciPlex3_MCF7_1μM	430	2	Quisinostat-JNJ-26481585-2HCl
sciPlex3_MCF7_0.01μM	318	3	Quisinostat-JNJ-26481585-2HCl
sciPlex3_MCF7_0.1μM	308	4	Quisinostat-JNJ-26481585-2HCl
sciPlex3_A549_0.01μM	209	5	Quisinostat-JNJ-26481585-2HCl
sciPlex3_A549_0.1μM	200	6	Quisinostat-JNJ-26481585-2HCl
sciPlex3_A549_1μM	123	7	Quisinostat-JNJ-26481585-2HCl
sciPlex3_A549_10μM	120	8	Quisinostat-JNJ-26481585-2HCl
sciPlex3_K562_0.01μM	112	9	Quisinostat-JNJ-26481585-2HCl
sciPlex3_K562_0.1μM	109	10	Quisinostat-JNJ-26481585-2HCl
sciPlex3_K562_1μM	87	11	Quisinostat-JNJ-26481585-2HCl
sciPlex3_K562_10μM	83	12	Quisinostat-JNJ-26481585-2HCl
TAD2_SE2	103	1	chr6_37157777_37157795_+
15SE_71HS	51	2	chr6_37157777_37157795_+
sciPlex3_A549_1μM	501	1	TMP195
sciPlex3_MCF7_0.01μM	490	2	TMP195
sciPlex3_MCF7_10μM	468	3	TMP195
sciPlex3_A549_0.01μM	453	4	TMP195
sciPlex3_A549_10μM	422	5	TMP195
sciPlex3_MCF7_1μM	421	6	TMP195
sciPlex3_MCF7_0.1μM	380	7	TMP195
sciPlex3_A549_0.1μM	360	8	TMP195
sciPlex3_K562_0.1μM	244	9	TMP195
sciPlex3_K562_1μM	244	10	TMP195
sciPlex3_K562_0.01μM	243	11	TMP195
sciPlex3_K562_10μM	226	12	TMP195
exp7	956	1	UPF3A
K562_GW	187	2	UPF3A
K562_essential	76	3	UPF3A
RPE1_essential	32	4	UPF3A
210322_TFAtlas	458	1	ZNF37A
K562_GW	196	2	ZNF37A
exp7	1328	1	UPF1
exp8	1079	2	UPF1
K562_GW	211	3	UPF1
K562_essential	117	4	UPF1
RPE1_essential	43	5	UPF1
K562_essential	183	1	CCT3
